_FullPath,_Accessor,_Data,Name,Size,Mode,mtime,atime,ctime
\C:\$Recycle.Bin,file,,$Recycle.Bin,0,drwxrwxrwx,2019-09-10T07:40:23Z,2019-10-18T14:35:57Z,2019-03-19T04:52:43Z
\C:\1.zip,file,,1.zip,1319,-rw-rw-rw-,2019-09-27T03:48:21Z,2019-11-07T22:06:07Z,2019-09-27T03:37:59Z
\C:\Documents and Settings,file,"{
 ""Link"": ""C:\\Users""
}",Documents and Settings,0,Lrw-rw-rw-,2019-09-10T22:28:17Z,2019-09-10T22:28:17Z,2019-09-10T22:28:17Z
\C:\Go,file,,Go,0,drwxrwxrwx,2019-09-18T14:57:11Z,2019-11-04T02:22:46Z,2019-09-18T14:46:26Z
\C:\HELLO.txt,file,,HELLO.txt,8,-rw-rw-rw-,2019-09-26T07:51:55Z,2019-10-30T13:27:26Z,2019-09-26T07:51:41Z
\C:\PerfLogs,file,,PerfLogs,0,drwxrwxrwx,2019-03-19T04:52:43Z,2019-11-07T22:06:24Z,2019-03-19T04:52:43Z
\C:\Program Files,file,,Program Files,0,dr-xr-xr-x,2019-10-14T10:31:56Z,2019-11-08T07:11:08Z,2019-03-19T04:52:43Z
\C:\Program Files (x86),file,,Program Files (x86),0,dr-xr-xr-x,2019-09-10T07:08:48Z,2019-11-08T07:11:09Z,2019-03-19T04:52:44Z
\C:\ProgramData,file,,ProgramData,0,drwxrwxrwx,2019-09-12T07:32:03Z,2019-11-08T03:02:42Z,2019-03-19T04:52:44Z
\C:\Recovery,file,,Recovery,0,drwxrwxrwx,2019-09-10T22:28:21Z,2019-10-18T14:02:55Z,2019-09-10T22:28:21Z
\C:\System Volume Information,file,,System Volume Information,0,drwxrwxrwx,2019-11-07T13:36:44Z,2019-11-07T13:36:44Z,2019-09-10T22:22:50Z
\C:\Users,file,,Users,0,dr-xr-xr-x,2019-09-10T06:35:20Z,2019-11-08T06:41:09Z,2019-03-19T04:37:22Z
\C:\Windows,file,,Windows,0,drwxrwxrwx,2019-10-16T23:49:49Z,2019-11-08T07:29:33Z,2019-03-19T04:37:22Z
\C:\pagefile.sys,file,,pagefile.sys,1073741824,-rw-rw-rw-,2019-11-07T13:01:43Z,2019-11-07T13:01:43Z,2019-09-10T22:22:52Z
\C:\swapfile.sys,file,,swapfile.sys,16777216,-rw-rw-rw-,2019-11-07T13:01:44Z,2019-11-07T13:01:44Z,2019-09-10T22:22:52Z
